CPU_Utilization,Disk_IO_Rate,Downtime (Hours),Log_ID,Memory_Utilization,Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Server_Cluster_x,Server_ID,Timestamp,Uptime (Hours),Network_Throughput_MBps,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone,Anomaly_Flag
94.63,44.1,2.77,Station1_LOG00001,81.3,1.67,21.79,CL-8,SRV001,2025-08-02 23:30:00,506.74,11.73,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,High Load
34.98,58.36,0.23,Station1_LOG00002,45.56,29.42,0.0,CL-3,SRV005,2025-08-01 03:12:00,157.97,14.71,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,Normal
37.41,74.51,5.85,Station1_LOG00003,73.65,2.79,18.88,CL-8,SRV001,2025-08-01 01:33:00,606.27,10.834999999999999,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,Normal
86.86,23.75,3.84,Station1_LOG00004,60.65,22.67,21.24,CL-2,SRV091,2025-08-02 12:56:00,893.06,21.955,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,High Load
91.59,50.36,0.22,Station1_LOG00005,62.23,11.64,19.67,CL-1,SRV089,2025-08-02 02:50:00,198.31,15.655000000000001,host-089,10.0.225.14,Windows,Frankfurt,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538,High Load
10.54,6.86,3.31,Station1_LOG00006,33.59,29.15,13.44,CL-3,SRV073,2025-08-01 02:28:00,256.34,21.294999999999998,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,Normal
20.89,60.62,6.69,Station1_LOG00007,0.0,1.49,5.67,CL-8,SRV094,2025-08-01 08:01:00,526.82,3.58,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,Normal
84.23,36.12,9.05,Station1_LOG00008,89.37,19.17,14.16,CL-1,SRV050,2025-08-01 02:40:00,974.54,16.665,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,Normal
56.07,21.22,2.17,Station1_LOG00009,57.99,29.09,10.51,CL-2,SRV013,2025-08-01 23:07:00,301.21,19.8,host-013,10.0.95.98,Linux,New York,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,Normal
12.49,62.17,9.32,Station1_LOG00010,58.19,24.73,20.72,CL-3,SRV097,2025-08-02 00:58:00,165.45,22.725,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,Normal
83.89,63.52,5.71,Station1_LOG00011,56.5,13.31,1.49,CL-10,SRV063,2025-08-01 18:18:00,203.94,7.4,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,Normal
65.37,12.46,0.21,Station1_LOG00012,69.4,23.36,10.03,CL-7,SRV011,2025-08-02 05:24:00,284.25,16.695,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,Normal
33.95,68.23,3.9,Station1_LOG00013,42.02,23.66,20.48,CL-2,SRV071,2025-08-02 03:14:00,830.93,22.07,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,Normal
29.93,39.43,5.17,Station1_LOG00014,65.16,27.89,21.67,CL-9,SRV054,2025-08-01 18:08:00,599.71,24.78,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167,Normal
59.13,59.49,4.32,Station1_LOG00015,64.05,4.72,12.68,CL-4,SRV096,2025-08-01 03:48:00,608.73,8.7,host-096,10.0.247.66,Windows,Frankfurt,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,Normal
